LINK,ACESSO,TÍTULO,ANO,TIPO,MÍDIA,LIVRO,EDITORA,REVISTA/PERIÓDICO,QUALIS,DOSSIÊ,INSTITUIÇÃO,ESTADO,REGIÃO,Nº AUTORIES,AUTORE 1,AUTORE 2,AUTORE 3,AUTORE 4,AUTORE 5,Área/Gênero
https://archive.org/details/primaveranaobinarie,Livre,O sujeito abjeto e a importância da arte: teoria queer e relatos de pessoas por ela representadas,2021,Capítulo de Livro,Digital,A primavera não-binárie: o protagonismo trans não-binárie no fazer científico,Rocha Gráfica e Editora,,,,,SC,Sul,1,Tuty Veloso Coura Guimarães,,,,,Estdos Trans
https://archive.org/details/primaveranaobinarie,Livre,(Trans) solidões: a solidão do outro e de si,2021,Capítulo de Livro,Digital,A primavera não-binárie: o protagonismo trans não-binárie no fazer científico,Rocha Gráfica e Editora,,,,,SC,Sul,2,Tuty Veloso Coura Guimarães,Thiago Odara,,,,Estdos Trans
https://revistaestudostransviades.files.wordpress.com/2023/01/revista-estudos-transviades-v.-2-n.-4-nov-2021-144-149.pdf,Livre,"Sobre não-binariedades, autodeterminação, produção de conhecimento e contra-hegemonia",2021,Artigo,Digital,,,Revista estudos transviades,Sem qualis,,Independente,RJ,Sudeste,1,Amanda Barros Macieira,,,,,Estdos Trans
https://dspace.unipampa.edu.br/handle/riu/5788,Livre,"Todxs, tod@s, todos ou todes?: uma análise do posicionamento de profissionais da área de Letras acerca da marcação de gênero no contexto da não-binariedade",2021,TCC,Digital,,UNIPAMPA,,,,,RS,Sul,1,Murilo Delgado Jorge,,,,,Letras
https://www.manole.com.br/saude-lgbtqia-praticas-de-cuidado-transdisciplinar-1-edicao/p?utm_source=google&utm_medium=cpc&utm_campaign=Pmax_CursoRadiologiaToracica&utm_term=keyword&utm_content=&gad_source=1&gclid=Cj0KCQjwzZmwBhD8ARIsAH4v1gVMMWpB1gEgg7gB_rA1JJBhQgG55i397ef_NxWDyAali_Q879NDDwsaAiyFEALw_wcB,Pago,Pessoas não binárias,2021,Capítulo de Livro,Impresso,Saúde LGBTQIA+ - Práticas de cuidado transdisciplinar.,Editora Manole,,,,,SP,Sudeste,5,Fer Pontes Battaglia,"NASRALLAH, F. A",Andrea Hercowitz,Ademir Lopes Junior,Saulo Vito Ciasca,Saúde
https://siduece.uece.br/siduece/trabalhoAcademicoPublico.jsf?id=102627,Livre,Dilemas da não binariedade de crianças e adolescentes a luz do Princípio do melhor interesse da criança e do adolescente,2021,TCC,Digital,,UECE,,,,,CE,Nordeste,1,Vania Soraia dos Santos Alcantara,,,,,Direito
https://editorarealize.com.br/editora/anais/desfazendo-genero/2021/TRABALHO_COMPLETO_EV168_MD_SA_ID_10122021234400.pdf ,Livre,Touraninfo: experiências de escape da(s) binariedade(s) em um corpo bailarino,2021,Anais,Digital,,,,,,,Online,,2,Lui Martins dos Reis,Princesa Ricardo Marinelli Martins,,,,Gênero e sexualidade
https://www.maxwell.vrac.puc-rio.br/52417/52417.PDF,Livre,"""Porque elas aparentam ser meninas ou agem como meninas"": apagamento de identidades não-binárias em traduções do mangá houseki no Kuni",2021,Dissertação,Digital,,PUC-RJ,,,,,RJ,Sudeste,1,Felipe Duarte Pinheiro,,,,,Estudos da Linguagem
https://www.unifal-mg.edu.br/extensao/wp-content/uploads/sites/96/2021/11/LIVRO-UNIFAL-GENERO-E-SEXUALIDADE-ROVAI-MONTEIRO-2021-1.pdf,Livre,Não Binariedade de Gênero (verbete),2021,Capítulo de Livro,Digital,"Gênero, sexualidades e relações étnico-raciais: um guia para o Ensino de História",Editora Universidade Federal de Alfenas,,,,,MG,Sudeste,2,Triodite Gabriel Donizetti Partenos Ferreira Simionato,,,,,Gênero
https://uol.unifor.br/oul/conteudosite/?uuid=DC3B3D9CF5D97B78E026D580857C65B3E260677A,Livre,Para além do 1 + 1 = 2: a não binaridade no campo das performances de gênero,2021,Anais,Digital,,,,,,,CE,Nordeste,2,Débora Passos de Oliveira,Caio Citó Rodrigues,,,,Psicologia
https://www.even3.com.br/anais/congressoestudosculturais2021/362613-se-voce-nao-e-homem-nao-e-mulher-o-que-voce-e--experiencia-de-nao-binariedade-na-rede-social/,Livre,"“Se você não é homem, não é mulher, o que você é?” – Experiência de não-binariedade na escola e na rede social",2021,Anais,Digital,,,,,,,GO,Centro Oeste,1,Rafael Mascarenhas Matos,,,,,Estudos Culturais
https://drive.google.com/file/d/1s2ytJfzTmbmuJ-v8zGFy__KVzHK0py_y/view,Pago,Sapatão não-binárie pane do cistema,2022,Zine,Impresso,,Machorra edições,,,,,PR,Sul,1,Flecha,,,,,Híbrido
https://www.revista.ueg.br/index.php/temporisacao/article/view/11926,Livre,Como ser algo que não existe: percursos universitários não bináries,2022,Artigo,Digital,,,Temporis(ação),B1,LGBTQIA+ na educação,UEG,CE ,Nordeste,1,Brune Camillo Bonassi ,,,,,Psicologia
https://www.revistas.usp.br/esse/article/view/203775,Livre,A questão da marcação linguística da não binariedade,2022,Artigo,Digital,,,Estudos Semióticos,A3,"Discursos discriminatórios e crise social: rupturas, desvios e desafios de uma semiótica implicada",USP,SP,Sudeste,1,José Luiz Fiorin,,,,,Letras
https://repositorio.ufsc.br/handle/123456789/238097 ,Livre,Linguista Exu e não binariedade: desestabilizações de gênero na língua,2022,TCC,Digital,,UFSC,,,,,SC,Sul,1,Alline de Souza Pedrotti,,,,,Letras
https://revistas.unibh.br/ecom/article/view/3522/1744 ,Livre,O papel pedagógico e educacional de perfis não-binários no Instagram,2022,Artigo,Digital,,,Revista Científica de Comunicação Social do Centro Universitário de Belo Horizonte,B3,,UniBH,BH,Nordeste,1,Giulian Pereira de Sales,,,,,Comunicação
