LINK,ACESSO,TÍTULO,ANO,TIPO,MÍDIA,LIVRO,EDITORA,REVISTA/PERIÓDICO,QUALIS,DOSSIÊ,INSTITUIÇÃO,ESTADO,REGIÃO,Nº AUTORIES,AUTORE 1,AUTORE 2,AUTORE 3,AUTORE 4,AUTORE 5,Área/Gênero
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54808,Livre,"“Mona, eu não tenho que te dar aula”: reflexões sobre a não binaridade de gênero, a interpelação e a prática psi",2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Ana Carolina Padilha da Silva,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54854,Livre,Ética sapatão: por uma ética fora do CIStema,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Julianna Paz Japiassu Motter,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54680,Livre,"Gênero, não binariedade e colonialidade: uma reflexão decolonial",2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,2,Fabiane Kravutschke Bogdanovicz,Kátia Alexsandra dos Santos,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/53074,Livre,Experiências de microagressões contra a identidade não-binária,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,3,Gabriel Ponce de Leão Lima Almeida,André Luiz Machado das Neves,Daniela dos Santos Dantas,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/52909,Livre,Identidades não binárias: a escuta psicanalítica como meio para a subversão do binarismo,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,2,Mariana de Castro Midlej,Anderson Fontes Passos Guimarães,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54457,Livre,Gêneros não binários no Brasil: uma aproximação psicanalítica,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,2,Leonora Maniglia Macedo,Patrícia Porchat,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54773,Livre,Transfobia e não binariedade: o regime da diferença sexual e a régua cisgênera,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Lucas Silva Dantas,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/52703,Livre,Taylor Mason e possibilidades de representação: a introdução da não binariedade na série Billions,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,4,Natália Ferreira Schreiner,Adriane Roso,Larissa Goya Pierry,Daniela Porto Giacomelli,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54766,Livre,(Re)produzindo o corpo cis: notas sobre o binarismo de sexo-gênero no discurso biomédico,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Patrick Braga,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54761,Livre,Pode a pessoa não binária ocupar espaços? Três relatos sobre questões que atravessaram meu corpo,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Felipe Grassine,,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54771,Livre,Projetos de lei brasileiros sobre linguagem não-binária,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,2,Iran Ferreira de Melo,Gustavo José Barbosa Paraiso,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54652,Livre,Não binariedade emergente ou binariedade projetiva – reflexões exploratórias transdisciplinares,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,2,Gabrielle Martins Weber,Silvana Nascimento,,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/38359,Livre,A comunidade LGBTQI+ como objeto de consumo: “O pink marketing e o impacto psicossocial”,2024,Artigo,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,3,Isaac Marlon Vasconcelos do Nascimento,Vinícius Érbethe Freitas de Oliveira,Francisco Franciente Leite Junior,,,Gênero e sexualidade
https://periodicos.ufba.br/index.php/revistaperiodicus/article/view/54693,Livre,"Linguagem não binária em Pet, de Akwaeke Emezi",2024,Resenha,Digital,,,Periódicus,A3,Não binariedade: uma identidade emergente no Brasil contemporâneo,UFBA,BH,Nordeste,1,Isabelle Ruiz Paggioro Sessino Toledo Barbosa,,,,,Gênero e sexualidade
https://periodicos.ufpel.edu.br/index.php/caduc/article/view/25406 ,Livre,Sentidos da não binariedade nas redes sociais,2024,Artigo,Digital,,,Cadernos de Educação,B3,,UFPel,RS,Sul,2,Maria Eduarda Fiorini,Esmael Alves de Oliveira,,,,Educação
https://www.nyota.com.br/_files/ugd/c3c80a_65e947c6a7fb4a01b11d5e5f9f34fa41.pdf,Livre,Mapeando produções sobre não-binariedade de gênero,2024,Capítulo de Livro,Digital,Encruzilhadas históricas e culturais,Nyota,,,,,SC,Sul,1,Morgan Franzoni Caetano,,,,,História
