LINK,NOME,FORMATO,ANO,INSTITUIÇÃO,PUB/PRIV,CIDADE,ESTADO,REGIÃO,MODALIDADE
https://cdgen.ufsc.br/2020/07/,"Não Binariedade: linguagens, tecnologias de gênero e (in) visibilidade nos movimentos LGBTQIA+",Live,2020,UFSC,Público,Florianópolis,SC,Sul,Remoto
https://www.instagram.com/p/Cxalp9Qr5r1/,Fazer Antropológico por e com pessoas não-binárias,Roda de Conversa,2023,UFSC,Público,Florianópolis,SC,Sul,Presencial
https://campodiscursivo.paginas.ufsc.br/inclusive-primeiro-simposio-de-linguagem-inclusiva-neutra-nao-binaria/,INCLUSIVE - I Simpósio de Linguagem Inclusiva-Neutra-Não-Binária,Simpósio,2023,UFSC-UFRPE,Público,,,Sul – Nordeste,Remoto
"",Perspectivas Não Binárias: Desnaturalizando a Cisgeneridade,Roda de Conversa,8/2024,UFSC,Público,Florianópolis,SC,Sul,Presencial

